구,년도,CCTV수,발생,검거
종로구,2002,0,4962,4159
중구,2002,0,6227,5631
성북구,2002,0,6609,6982
은평구,2002,0,7909,6662
관악구,2002,0,5720,4165
서초구,2002,0,7773,6267
강남구,2002,5,12895,9640
서대문구,2002,0,3947,3844
용산구,2002,0,4010,3807
동대문구,2002,0,5785,5773
마포구,2002,0,6370,5094
영등포구,2002,0,5468,4823
성동구,2002,0,3880,3802
동작구,2002,0,4766,4032
광진구,2002,0,7546,5811
강북구,2002,0,5037,4197
중랑구,2002,0,6767,6034
강서구,2002,0,6797,5419
강동구,2002,0,5053,4746
구로구,2002,0,5736,4271
양천구,2002,0,5523,4599
송파구,2002,0,4751,4082
노원구,2002,0,3489,3045
도봉구,2002,0,4604,4402
금천구,2002,0,6078,5360
종로구,2003,0,5697,4812
중구,2003,0,4796,3921
성북구,2003,0,6194,5681
은평구,2003,0,8338,7019
관악구,2003,0,5849,3937
서초구,2003,0,6894,5960
강남구,2003,42,10916,9338
서대문구,2003,0,3782,3160
용산구,2003,0,3962,3373
동대문구,2003,0,5740,5760
마포구,2003,0,6412,4947
영등포구,2003,0,5046,4608
성동구,2003,0,4663,4864
동작구,2003,0,4888,4331
광진구,2003,0,7445,5841
강북구,2003,0,5332,5036
중랑구,2003,0,7233,5666
강서구,2003,0,6082,4975
강동구,2003,0,5456,4536
구로구,2003,0,5186,4012
양천구,2003,0,5192,4449
송파구,2003,0,4622,4270
노원구,2003,0,3845,3319
도봉구,2003,0,4759,3882
금천구,2003,0,6403,5085
종로구,2004,3,4613,4643
중구,2004,6,4073,3167
성북구,2004,28,6340,5796
은평구,2004,0,5931,5356
관악구,2004,0,4817,3356
서초구,2004,0,6676,5569
강남구,2004,272,9548,7598
서대문구,2004,0,3266,2452
용산구,2004,0,3069,2518
동대문구,2004,0,4424,4300
마포구,2004,0,5290,3596
영등포구,2004,0,3737,3205
성동구,2004,0,3435,2840
동작구,2004,2,4685,2829
광진구,2004,0,5867,4267
강북구,2004,0,3655,3362
중랑구,2004,0,4822,4518
강서구,2004,0,6328,4921
강동구,2004,0,4143,3912
구로구,2004,0,5288,4043
양천구,2004,0,4492,3240
송파구,2004,6,3544,2959
노원구,2004,0,3593,3132
도봉구,2004,0,3663,3180
금천구,2004,0,6116,4370
종로구,2005,3,4848,4526
중구,2005,6,3239,2865
성북구,2005,28,5605,5120
은평구,2005,0,5697,5124
관악구,2005,0,4674,3310
서초구,2005,9,5897,5172
강남구,2005,372,9204,7702
서대문구,2005,0,3148,2495
용산구,2005,0,2516,2444
동대문구,2005,0,3902,3810
마포구,2005,0,4988,3438
영등포구,2005,0,3488,3071
성동구,2005,0,3830,2934
동작구,2005,2,3904,2985
